属性グループ名,数
既婚/未婚,2
23リクルーター,2
部署異動,2
年齢(5歳刻み),2
研修用,2
室/グループ,2
課・室・グループ,2
場所,2
所属チーム・ゾーン,2
"人事部
統計用
年次",2
コース区分,2
部①,2
Ev_S,2
部門（中）,2
等級別,2
所属（GR）,2
分析用2,2
本部部室・地区本部,2
部署（組織階層2）,2
所属統括部,2
RCAでの就業開始時期,2
入社(転籍前含む）,2
入社形態 性別,2
ＡＴＭＪーＧ入社年数,2
委員会,2
仕事タイプ,2
性別+年齢,2
（MCE）チーム,2
異動情報,2
その他属性,2
グループ・課・事業所,2
ブース,2
分析用属性①,2
所属⑤,2
カンパニー・室,2
部・課（事業所）,2
所属事業所,2
B01従業員区分名称,2
B01役付職区分名称,2
店・課・担当,2
日本語,2
軌道事務所,2
店舗形態,2
営業形態,2
労働組合,2
縦割,2
Years of service,2
他事務所勤続経験,2
年代・性別,2
現グループの配属歴,2
支店集計,2
室／営業部,2
所属組織（階層３）,2
組織（担当）,2
建屋,2
部相当格１,2
課相当格１,2
部門・エリア,2
職種大別,2
職位(2017.09),2
課長,2
ロール1,2
地区本部・調査事務所,2
Education,2
二段組織,2
四段組織,2
入団年,2
前職,2
新卒／新卒以外,2
地域_属性一覧,2
雇用体系,2
所属ー課,2
事業部・事業室・営業部,2
室・本部,2
課・営業所・事業所,2
茂原,2
部署内チーム,2
企業ID,2
等級・役職,2
Lv3,2
楽天での役職,2
楽天での雇用形態,2
追加属性,2
地区本部,2
組織40：エリア,2
所属企業と就業場所,2
職務権限,2
行員区分,2
SVエリア,2
入社区分ー性別,2
勤務状況等,2
拠点／グループ,2
入社ルート,2
センター・部,2
仮想組織_1911,2
役職（評価者）,2
その他組み分け４,2
所属組織（部）,2
支店・営業所,2
部門・工場・支店,2
社員区分（退職者含む）,2
Working Location,2
資格滞留年数,2
第六階層,2
従業員呼称区分略称,2
全体2,2
役職・雇用形態,2
所属院,2
所属拠点,2
拠点別,2
所・オフィス・チーム,2
異動希望,2
部(2018.01),2
雇用形態別,2
Job,2
Generation,2
組織第一階層,2
組織第二階層,2
人事区分,2
部店分類詳細,2
職員・以外,2
簡易区分,2
部店長フラグ,2
職員役職グレード,2
出向受,2
グループF,2
勤続期間,2
Employment,2
本部・統括部,2
部など,2
所属部署（課）,2
Lv5,2
通算勤続年数,2
年齢（詳細）,2
項目２,2
項目４,2
項目６,2
職種（スキルマップ）,2
事業部名,2
部/課,2
閲覧権限,2
役職ライン,2
本社所属,2
支店グループ,2
本社機材センター部署,2
本社機材センターグループ,2
チーム単位,2
既婚／未婚,2
取組みグループ,2
選択コース,2
工場長付,2
系列,2
管理監督者,2
資格（シキボウ）,2
現等級の滞留年,2
評価結果,2
現担当業務経験年数,2
グループリーダー,2
TYPE,2
部門長ｸﾗｽ,2
部・工場,2
担当職務稼働期間,2
年数,2
課格,2
係格,2
Employment status,2
21メンター,2
組織名,2
層別資格区分・等級,2
部/グループ,2
出向有無,2
課・チーム等,2
集計用,2
新卒／中途,2
経験年数,2
旧AS職,2
組織50：支店等,2
組織70：課,2
都市開発での就業年数,2
室/課,2
サービス,2
BU・センター②,2
補職,2
在職期間,2
職種詳細,2
集計区分,2
部門（大）,2
管理本部,2
1st line,2
採用ルート,2
Job Grade,2
入社時期（5年刻み）,2
行動タイプ,2
標準年齢,2
部署③,2
組織滞留年数,2
入社期間,2
インターン歴含む社歴,2
路線,2
nakazaki,2
IP&PF（旧MSC Tech抜き）,2
所属④,2
57期異動,2
担当・店舗,2
事業開発部,2
室又は課,2
B01職員区分名称,2
B01職級名称,2
B01出身部門名称,2
A01性別名称,2
本社部門,2
部門（小）兼務以外,2
課／担当室／本部／営業課／営業所／支店／センター,2
課／センター／営業部／チーム,2
子会社,2
評価者,2
店舗・チーム,2
